paper,mutation operators
Czemerinski et al.\cite{czemerinski2015behaviour} ,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, absolute value, OO-specific, Java-specific, program"
Delamare et al.\cite{delamare2011approach},"AOP-specific, program"
Di Nardo et al.\cite{di2015generating},specification
Do and Rothermel\cite{do2005controlled},"arithmetic op, relational op, conditional op, method call, OO-specific, program"
Do and Rothermel\cite{do2006use},"arithmetic op, relational op, conditional op, method call, OO-specific, program"
Do et al.\cite{do2008empirical},"arithmetic op, relational op, conditional op, method call, OO-specific, program"
Edwards\cite{edwards2000black},"arithmetic op, relational op, conditional op, absolute value, program"
Fraser and Walkinshaw\cite{fraser2015assessing},"constant, conditional op, arithmetic op, statement deletion, absolute value, variable, conditional exp,program"
Fraser et al.\cite{fraser2015achieving},"arithmetic op, relational op, constant, variable, conditional op, statement deletion, OO-specific, bitwise op, program"
Gay et al.\cite{gay2015automated},"arithmetic op, relational op, conditional op, constant, variable, program"
Gupta and Jalote\cite{gupta2007test},"OO-specific, constant, arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, control-flow disruption, method call, statement swap, variable, conditional exp, program"
Hennessy and Power\cite{hennessy2008analysing} ,"absolute value, arithmetic op, conditional op, relational op, program"
Hofer and Wotawa\cite{hofer2014does},"spreadsheet-specific, program"
Holt et al.\cite{holt2012state},specification
Hong et al.\cite{hong2013impact} ,"concurrent mutation, program"
Hong et al.\cite{hong2015concurrency},"concurrent mutation, program"
Hou et al.\cite{hou2007applying},"arithmetic op, conditional op, relational op, constant, variable, Interface mutation, program"
Jee et al.\cite{jee2014automated},specification
Kanewala and Bieman\cite{kanewala2013using},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program"
Kapfhammer et al.\cite{kapfhammer2013search},"SQL-specific, program"
Khalil and Labiche\cite{khalil2010round},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, program"
Koster and Kao\cite{koster2007state},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, program"
Kracht et al.\cite{kracht2014empirically} ,"arithmetic op, conditional op, relational op,assignment op, bitwise op, shift op, constant, variable, absolute value, conditional exp, statement deletion, method call, return statement, control-flow disruption,program"
Le Traon et al.\cite{le2006design},"exception handler, arithmetic op, conditional op, relational op, statement deletion, constant, variable, OO-specific, program"
Le Traon et al.\cite{le2007testing},specification
Lee and Offutt\cite{lee2001generating},specification
Lei  and Andrews\cite{lei2005minimization},"absolute value, arithmetic op, conditional op, relational op, program"
Li et al.\cite{li2007practical},"arithmetic op, conditional op, bitwise op, constant, variable, Java-specific, OO-specific, return statement, program"
Liu et al.\cite{liu2006approach} ,"arithmetic op, relational op, conditional op, constant, variable, program"
Lou et al.\cite{lou2015mutation},"constant, conditional op, arithmetic op, statement deletion, absolute value, variable, conditional exp, program"
Mayer and Guderlei\cite{mayer2006random},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, absolute value, program"
Mayer and Schneckenburger\cite{mayer2006empirical},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, absolute value, program"
Mcminn et al.\cite{mcminn2015effectiveness},"SQL-specific, program"
Milani et al.\cite{milani2014leveraging} ,"method call, variable, JS-specific, program"
Miller and Strooper\cite{miller2012case},"specification, arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,absolute value, OO-specific, Java-specific, program"
Mottu et al.\cite{mottu2012static},specification
Namin and Andrews\cite{namin2009influence} ,"arithmetic op, bitwise op, return statement, conditional op, assignment op, type, relational op, goto label, loop trap, brace, switch statement, conditional exp, while statement, variable, program"
Ntafos\cite{ntafos1984evaluation},"constant, variable, arithmetic op, relational op, conditional op, statement deletion, return statement, goto label, do statement, bomb statement, program"
Offutt and Liu\cite{offutt1999generating},"constant, variable, arithmetic op, relational op, conditional op, statement deletion, return statement, goto label, do statement, bomb statement, absolute value, program"
Papadakis and Malevris\cite{papadakis2010automatic} ,"absolute value, arithmetic op,  relational op"
Papadakis and Malevris\cite{papadakis2011automatically} ,"absolute value, arithmetic op, conditional op, relational op, program"
Papadakis and Malveris\cite{papadakis2012mutation} ,"absolute value, arithmetic op, conditional op, relational op, program"
Papadakis et al.\cite{papadakis2014sampling} ,specification
Pretschner et al.\cite{pretschner2008model},specification
Rubab et al.\cite{rubab2014model},specification
Rutherford et al.\cite{rutherford2008evaluating},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, absolute value,OO-specific, Java-specific, program"
Segura et al.\cite{segura2010automated},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,absolute value, program"
Shi et al.\cite{shi2014balancing} ,"arithmetic op, shift op, bitwise op, relational op, conditional op,  assignment op,  conditional exp, return statement, OO-specific, constant, statement deletion, variable, switch statement, program"
Shrestha and Rutherford\cite{shrestha2011empirical},"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program"
Simith and Williams\cite{smith2009guiding} ,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, program"
